cod_cli,rag_soc,cod_prov
18402,CLIENTE 18402,PN
18423,CLIENTE 18423,PN
18441,CLIENTE 18441,RE
18492,CLIENTE 18492,VA
18500,CLIENTE 18500,PN
18526,CLIENTE 18526,PN
18541,CLIENTE 18541,PN
18546,CLIENTE 18546,PN
18551,CLIENTE 18551,VE
18641,CLIENTE 18641,PN
18645,CLIENTE 18645,PN
18665,CLIENTE 18665,PN
18669,CLIENTE 18669,TV
18747,CLIENTE 18747,PN
18758,CLIENTE 18758,TN
18774,CLIENTE 18774,PN
18775,CLIENTE 18775,PN
18954,CLIENTE 18954,PN
18991,CLIENTE 18991,TV
19001,CLIENTE 19001,PN
19174,CLIENTE 19174,PN
19201,CLIENTE 19201,PN
19302,CLIENTE 19302,TV
19304,CLIENTE 19304,PN
19331,CLIENTE 19331,PN
19363,CLIENTE 19363,VE
19365,CLIENTE 19365,PN
19441,CLIENTE 19441,PN
19442,CLIENTE 19442,PN
19502,CLIENTE 19502,PN
19503,CLIENTE 19503,PN
19505,CLIENTE 19505,PN
19542,CLIENTE 19542,VE
19547,CLIENTE 19547,TV
19582,CLIENTE 19582,PN
19603,CLIENTE 19603,PN
19606,CLIENTE 19606,PN
19631,CLIENTE 19631,TV
19632,CLIENTE 19632,PN
19633,CLIENTE 19633,PN
19639,CLIENTE 19639,UD
19642,CLIENTE 19642,PN
19646,CLIENTE 19646,PN
19647,CLIENTE 19647,PN
19654,CLIENTE 19654,PN
19655,CLIENTE 19655,PN
19657,CLIENTE 19657,PN
19661,CLIENTE 19661,PN
19665,CLIENTE 19665,PN
19667,CLIENTE 19667,PN
19687,CLIENTE 19687,TS
19704,CLIENTE 19704,PN
19742,CLIENTE 19742,PN
19743,CLIENTE 19743,RO
19745,CLIENTE 19745,PN
19746,CLIENTE 19746,PN
19752,CLIENTE 19752,PN
19755,CLIENTE 19755,TV
19771,CLIENTE 19771,PN
19774,CLIENTE 19774,PN
19776,CLIENTE 19776,TV
19782,CLIENTE 19782,TV
19799,CLIENTE 19799,PN
19854,CLIENTE 19854,PN
19857,CLIENTE 19857,PN
19866,CLIENTE 19866,PN
19874,CLIENTE 19874,PN
19885,CLIENTE 19885,TV
19898,CLIENTE 19898,PN
19997,CLIENTE 19997,PN
20000,CLIENTE 20000,PN
20002,CLIENTE 20002,PN
20056,CLIENTE 20056,PN
20165,CLIENTE 20165,PN
20185,CLIENTE 20185,PN
20302,CLIENTE 20302,PN
20331,CLIENTE 20331,PN
20338,CLIENTE 20338,PN
20554,CLIENTE 20554,VR
20649,CLIENTE 20649,PN
20661,CLIENTE 20661,PN
20698,CLIENTE 20698,PN
20968,CLIENTE 20968,PN
20977,CLIENTE 20977,PN
20997,CLIENTE 20997,PN
21004,CLIENTE 21004,PN
21005,CLIENTE 21005,PN
21016,CLIENTE 21016,PN
21018,CLIENTE 21018,PN
21020,CLIENTE 21020,TV
21029,CLIENTE 21029,PN
21031,CLIENTE 21031,PN
21032,CLIENTE 21032,PN
21034,CLIENTE 21034,PN
21035,CLIENTE 21035,PN
21101,CLIENTE 21101,PN
21103,CLIENTE 21103,PN
21133,CLIENTE 21133,PN
21140,CLIENTE 21140,TV
21176,CLIENTE 21176,PN
21178,CLIENTE 21178,PN
21192,CLIENTE 21192,PN
21202,CLIENTE 21202,PN
21204,CLIENTE 21204,PN
21212,CLIENTE 21212,PN
21262,CLIENTE 21262,PN
21270,CLIENTE 21270,PN
21273,CLIENTE 21273,PN
21279,CLIENTE 21279,PN
21295,CLIENTE 21295,PN
21296,CLIENTE 21296,PN
21298,CLIENTE 21298,PN
21304,CLIENTE 21304,PN
21305,CLIENTE 21305,PN
21399,CLIENTE 21399,PN
21408,CLIENTE 21408,PN
21554,CLIENTE 21554,PN
21565,CLIENTE 21565,PN
21612,CLIENTE 21612,PN
21846,CLIENTE 21846,PN
21848,CLIENTE 21848,PN
21852,CLIENTE 21852,PN
21859,CLIENTE 21859,PN
21967,CLIENTE 21967,PN
21991,CLIENTE 21991,PN
21999,CLIENTE 21999,PN
22012,CLIENTE 22012,PN
22029,CLIENTE 22029,PN
22030,CLIENTE 22030,PN
22041,CLIENTE 22041,PN
22046,CLIENTE 22046,PN
22054,CLIENTE 22054,PN
22056,CLIENTE 22056,TV
22066,CLIENTE 22066,PN
22068,CLIENTE 22068,PN
22069,CLIENTE 22069,PN
22086,CLIENTE 22086,PN
22088,CLIENTE 22088,PN
22101,CLIENTE 22101,UD
22123,CLIENTE 22123,PN
22124,CLIENTE 22124,PN
22135,CLIENTE 22135,PN
22156,CLIENTE 22156,PN
22174,CLIENTE 22174,PN
22182,CLIENTE 22182,PN
22186,CLIENTE 22186,PN
22200,CLIENTE 22200,PN
22205,CLIENTE 22205,PN
22208,CLIENTE 22208,PN
22214,CLIENTE 22214,PN
22223,CLIENTE 22223,PN
22229,CLIENTE 22229,PN
22253,CLIENTE 22253,TV
22254,CLIENTE 22254,PN
22256,CLIENTE 22256,PN
22274,CLIENTE 22274,PN
22294,CLIENTE 22294,PN
22303,CLIENTE 22303,PN
22306,CLIENTE 22306,PN
22313,CLIENTE 22313,PN
22317,CLIENTE 22317,PN
22319,CLIENTE 22319,PN
22321,CLIENTE 22321,PN
22323,CLIENTE 22323,PN
22325,CLIENTE 22325,PN
22327,CLIENTE 22327,PN
22330,CLIENTE 22330,PN
22334,CLIENTE 22334,PN
22335,CLIENTE 22335,PN
22443,CLIENTE 22443,PN
22596,CLIENTE 22596,PN
22598,CLIENTE 22598,PN
22600,CLIENTE 22600,PN
22622,CLIENTE 22622,PN
22630,CLIENTE 22630,PN
22649,CLIENTE 22649,PN
22655,CLIENTE 22655,PN
22659,CLIENTE 22659,PN
22666,CLIENTE 22666,PN
22832,CLIENTE 22832,PN
