cod_cli,rag_soc,cod_prov
463128,CLIENTE 463128,UD
463129,CLIENTE 463129,UD
463131,CLIENTE 463131,UD
463132,CLIENTE 463132,VE
463134,CLIENTE 463134,UD
463136,CLIENTE 463136,UD
463137,CLIENTE 463137,UD
463138,CLIENTE 463138,TV
463140,CLIENTE 463140,UD
463141,CLIENTE 463141,UD
463143,CLIENTE 463143,UD
463145,CLIENTE 463145,UD
463146,CLIENTE 463146,UD
463147,CLIENTE 463147,VE
463148,CLIENTE 463148,VE
463149,CLIENTE 463149,UD
463151,CLIENTE 463151,VE
463153,CLIENTE 463153,VE
463156,CLIENTE 463156,UD
463157,CLIENTE 463157,UD
463159,CLIENTE 463159,VE
463161,CLIENTE 463161,UD
463162,CLIENTE 463162,VE
463164,CLIENTE 463164,VE
463165,CLIENTE 463165,UD
463166,CLIENTE 463166,UD
463168,CLIENTE 463168,VE
463169,CLIENTE 463169,VE
463170,CLIENTE 463170,UD
463172,CLIENTE 463172,UD
463173,CLIENTE 463173,UD
463174,CLIENTE 463174,UD
463176,CLIENTE 463176,UD
463177,CLIENTE 463177,TS
463179,CLIENTE 463179,UD
463183,CLIENTE 463183,CE
463185,CLIENTE 463185,UD
463189,CLIENTE 463189,UD
463192,CLIENTE 463192,UD
463193,CLIENTE 463193,VE
463198,CLIENTE 463198,UD
463199,CLIENTE 463199,UD
463204,CLIENTE 463204,UD
463205,CLIENTE 463205,UD
463210,CLIENTE 463210,UD
463211,CLIENTE 463211,VE
463212,CLIENTE 463212,UD
463213,CLIENTE 463213,UD
463214,CLIENTE 463214,UD
463215,CLIENTE 463215,UD
463217,CLIENTE 463217,UD
463218,CLIENTE 463218,VE
463219,CLIENTE 463219,UD
463220,CLIENTE 463220,UD
463223,CLIENTE 463223,UD
463225,CLIENTE 463225,UD
463228,CLIENTE 463228,UD
463230,CLIENTE 463230,UD
463233,CLIENTE 463233,VE
463234,CLIENTE 463234,VE
463235,CLIENTE 463235,UD
463239,CLIENTE 463239,UD
463241,CLIENTE 463241,UD
463242,CLIENTE 463242,UD
463244,CLIENTE 463244,VE
463246,CLIENTE 463246,UD
463247,CLIENTE 463247,UD
463248,CLIENTE 463248,UD
463249,CLIENTE 463249,UD
463252,CLIENTE 463252,RN
463254,CLIENTE 463254,UD
463257,CLIENTE 463257,UD
463258,CLIENTE 463258,UD
463259,CLIENTE 463259,UD
463260,CLIENTE 463260,UD
463261,CLIENTE 463261,UD
463262,CLIENTE 463262,UD
463263,CLIENTE 463263,UD
463265,CLIENTE 463265,UD
463267,CLIENTE 463267,UD
463269,CLIENTE 463269,UD
463271,CLIENTE 463271,UD
463273,CLIENTE 463273,VE
463274,CLIENTE 463274,UD
463278,CLIENTE 463278,UD
463281,CLIENTE 463281,UD
463283,CLIENTE 463283,UD
463285,CLIENTE 463285,UD
463286,CLIENTE 463286,UD
463287,CLIENTE 463287,VE
463288,CLIENTE 463288,UD
463289,CLIENTE 463289,UD
463292,CLIENTE 463292,UD
463293,CLIENTE 463293,UD
463297,CLIENTE 463297,UD
463300,CLIENTE 463300,UD
463305,CLIENTE 463305,UD
463307,CLIENTE 463307,UD
463308,CLIENTE 463308,VE
463309,CLIENTE 463309,UD
463310,CLIENTE 463310,UD
463312,CLIENTE 463312,UD
463313,CLIENTE 463313,VE
463316,CLIENTE 463316,UD
463318,CLIENTE 463318,UD
463321,CLIENTE 463321,VE
463323,CLIENTE 463323,VE
463324,CLIENTE 463324,UD
463325,CLIENTE 463325,UD
463327,CLIENTE 463327,VE
463328,CLIENTE 463328,UD
463333,CLIENTE 463333,VE
463334,CLIENTE 463334,UD
463335,CLIENTE 463335,VE
463338,CLIENTE 463338,UD
463340,CLIENTE 463340,UD
463341,CLIENTE 463341,VE
463342,CLIENTE 463342,VE
463350,CLIENTE 463350,VE
463351,CLIENTE 463351,VE
463353,CLIENTE 463353,UD
463354,CLIENTE 463354,UD
463355,CLIENTE 463355,UD
463356,CLIENTE 463356,UD
463357,CLIENTE 463357,UD
463359,CLIENTE 463359,UD
463361,CLIENTE 463361,UD
463364,CLIENTE 463364,UD
463365,CLIENTE 463365,UD
463366,CLIENTE 463366,UD
463374,CLIENTE 463374,UD
463376,CLIENTE 463376,UD
463379,CLIENTE 463379,VE
463380,CLIENTE 463380,UD
463381,CLIENTE 463381,VE
463382,CLIENTE 463382,UD
463383,CLIENTE 463383,UD
463384,CLIENTE 463384,UD
463385,CLIENTE 463385,UD
463386,CLIENTE 463386,UD
463388,CLIENTE 463388,UD
463390,CLIENTE 463390,UD
463391,CLIENTE 463391,UD
463395,CLIENTE 463395,UD
463398,CLIENTE 463398,UD
463399,CLIENTE 463399,VE
463400,CLIENTE 463400,UD
463401,CLIENTE 463401,UD
463402,CLIENTE 463402,UD
463405,CLIENTE 463405,VE
463407,CLIENTE 463407,UD
463408,CLIENTE 463408,UD
463409,CLIENTE 463409,UD
463414,CLIENTE 463414,VE
463416,CLIENTE 463416,UD
463418,CLIENTE 463418,UD
463419,CLIENTE 463419,UD
463420,CLIENTE 463420,UD
463424,CLIENTE 463424,UD
463429,CLIENTE 463429,UD
463430,CLIENTE 463430,UD
463431,CLIENTE 463431,UD
463432,CLIENTE 463432,UD
463434,CLIENTE 463434,VE
463441,CLIENTE 463441,VE
463452,CLIENTE 463452,UD
463457,CLIENTE 463457,UD
463458,CLIENTE 463458,UD
463460,CLIENTE 463460,UD
463464,CLIENTE 463464,UD
463469,CLIENTE 463469,VE
463472,CLIENTE 463472,VE
463475,CLIENTE 463475,VE
463477,CLIENTE 463477,UD
463480,CLIENTE 463480,UD
463482,CLIENTE 463482,VE
463484,CLIENTE 463484,UD
463485,CLIENTE 463485,VE
463486,CLIENTE 463486,VE
463487,CLIENTE 463487,VE
463492,CLIENTE 463492,VE
463493,CLIENTE 463493,UD
463495,CLIENTE 463495,UD
463497,CLIENTE 463497,VE
463499,CLIENTE 463499,UD
463501,CLIENTE 463501,UD
463503,CLIENTE 463503,UD
463505,CLIENTE 463505,UD
463507,CLIENTE 463507,UD
463512,CLIENTE 463512,VE
463518,CLIENTE 463518,UD
463520,CLIENTE 463520,VE
463525,CLIENTE 463525,UD
463529,CLIENTE 463529,UD
471024,CLIENTE 471024,UD
471501,CLIENTE 471501,VE
471521,CLIENTE 471521,UD
474121,CLIENTE 474121,UD
478546,CLIENTE 478546,UD
481201,CLIENTE 481201,UD
481475,CLIENTE 481475,UD
482103,CLIENTE 482103,UD
485266,CLIENTE 485266,UD
500001,CLIENTE 500001,UD
500005,CLIENTE 500005,PN
500006,CLIENTE 500006,PN
500025,CLIENTE 500025,PN
500039,CLIENTE 500039,PN
500046,CLIENTE 500046,PN
500096,CLIENTE 500096,PN
500097,CLIENTE 500097,PN
500108,CLIENTE 500108,PN
500117,CLIENTE 500117,PN
500123,CLIENTE 500123,UD
500125,CLIENTE 500125,PN
500130,CLIENTE 500130,TV
500131,CLIENTE 500131,PN
500136,CLIENTE 500136,PN
500137,CLIENTE 500137,PN
500142,CLIENTE 500142,PN
500149,CLIENTE 500149,PN
500150,CLIENTE 500150,PN
500153,CLIENTE 500153,PN
500174,CLIENTE 500174,PN
500203,CLIENTE 500203,PN
500205,CLIENTE 500205,PN
500206,CLIENTE 500206,PN
500217,CLIENTE 500217,PN
500223,CLIENTE 500223,PN
500224,CLIENTE 500224,TV
500225,CLIENTE 500225,PN
500229,CLIENTE 500229,PN
500230,CLIENTE 500230,PN
500235,CLIENTE 500235,TV
500241,CLIENTE 500241,PN
500242,CLIENTE 500242,UD
500245,CLIENTE 500245,PN
500252,CLIENTE 500252,PN
500257,CLIENTE 500257,UD
500264,CLIENTE 500264,PN
500272,CLIENTE 500272,PN
500289,CLIENTE 500289,PN
500295,CLIENTE 500295,PN
500302,CLIENTE 500302,PN
500303,CLIENTE 500303,UD
500305,CLIENTE 500305,UD
500307,CLIENTE 500307,UD
500328,CLIENTE 500328,PN
500346,CLIENTE 500346,UD
500355,CLIENTE 500355,PN
500397,CLIENTE 500397,PN
500400,CLIENTE 500400,PN
500401,CLIENTE 500401,PN
500402,CLIENTE 500402,PN
500404,CLIENTE 500404,PN
500420,CLIENTE 500420,UD
500425,CLIENTE 500425,PN
500428,CLIENTE 500428,PN
500429,CLIENTE 500429,PN
500431,CLIENTE 500431,PN
500450,CLIENTE 500450,PN
500470,CLIENTE 500470,PN
500475,CLIENTE 500475,GO
500476,CLIENTE 500476,UD
500479,CLIENTE 500479,GO
500491,CLIENTE 500491,UD
500500,CLIENTE 500500,PN
500502,CLIENTE 500502,PN
500504,CLIENTE 500504,UD
500510,CLIENTE 500510,GO
500519,CLIENTE 500519,GO
500525,CLIENTE 500525,TV
500528,CLIENTE 500528,PN
500529,CLIENTE 500529,PN
500533,CLIENTE 500533,PN
500558,CLIENTE 500558,PN
500560,CLIENTE 500560,PN
500567,CLIENTE 500567,GO
500568,CLIENTE 500568,GO
500578,CLIENTE 500578,PN
500580,CLIENTE 500580,UD
500639,CLIENTE 500639,PN
500660,CLIENTE 500660,UD
500668,CLIENTE 500668,PN
500675,CLIENTE 500675,PN
500680,CLIENTE 500680,GO
500681,CLIENTE 500681,TV
500692,CLIENTE 500692,GO
500693,CLIENTE 500693,UD
500706,CLIENTE 500706,PN
500710,CLIENTE 500710,PN
500716,CLIENTE 500716,UD
500719,CLIENTE 500719,PN
500726,CLIENTE 500726,PN
500746,CLIENTE 500746,PN
500747,CLIENTE 500747,PN
500760,CLIENTE 500760,PN
500764,CLIENTE 500764,GO
500768,CLIENTE 500768,PN
500770,CLIENTE 500770,GO
500771,CLIENTE 500771,PN
500772,CLIENTE 500772,PN
500796,CLIENTE 500796,PN
500797,CLIENTE 500797,PN
500798,CLIENTE 500798,UD
500799,CLIENTE 500799,UD
500800,CLIENTE 500800,UD
500825,CLIENTE 500825,PN
500826,CLIENTE 500826,PN
500829,CLIENTE 500829,PN
500831,CLIENTE 500831,GO
500832,CLIENTE 500832,GO
500833,CLIENTE 500833,PN
500838,CLIENTE 500838,PN
500840,CLIENTE 500840,PN
500841,CLIENTE 500841,PN
500842,CLIENTE 500842,PN
500843,CLIENTE 500843,PN
500846,CLIENTE 500846,PN
500856,CLIENTE 500856,PN
500858,CLIENTE 500858,UD
500872,CLIENTE 500872,PN
500873,CLIENTE 500873,PN
500880,CLIENTE 500880,PN
500894,CLIENTE 500894,GO
500895,CLIENTE 500895,GO
500900,CLIENTE 500900,GO
500901,CLIENTE 500901,PN
500902,CLIENTE 500902,PN
500922,CLIENTE 500922,PN
500927,CLIENTE 500927,TV
500930,CLIENTE 500930,PN
500939,CLIENTE 500939,PN
500941,CLIENTE 500941,PN
500942,CLIENTE 500942,TV
500943,CLIENTE 500943,PN
500949,CLIENTE 500949,GO
500953,CLIENTE 500953,GO
500954,CLIENTE 500954,PN
500955,CLIENTE 500955,PN
500979,CLIENTE 500979,TS
500994,CLIENTE 500994,VE
500996,CLIENTE 500996,PN
501007,CLIENTE 501007,PN
501011,CLIENTE 501011,PN
501030,CLIENTE 501030,TV
501048,CLIENTE 501048,PN
501056,CLIENTE 501056,PN
501079,CLIENTE 501079,PN
501085,CLIENTE 501085,PN
501092,CLIENTE 501092,TV
501093,CLIENTE 501093,TV
501094,CLIENTE 501094,PN
501114,CLIENTE 501114,PN
501129,CLIENTE 501129,UD
501141,CLIENTE 501141,PN
501145,CLIENTE 501145,UD
501165,CLIENTE 501165,PN
501169,CLIENTE 501169,UD
501179,CLIENTE 501179,PN
501181,CLIENTE 501181,PN
501184,CLIENTE 501184,UD
501185,CLIENTE 501185,PN
501186,CLIENTE 501186,PN
501187,CLIENTE 501187,PN
501188,CLIENTE 501188,TV
501202,CLIENTE 501202,PN
501204,CLIENTE 501204,GO
501224,CLIENTE 501224,UD
501225,CLIENTE 501225,GO
501242,CLIENTE 501242,PN
501244,CLIENTE 501244,GO
501254,CLIENTE 501254,GO
501263,CLIENTE 501263,GO
501270,CLIENTE 501270,PN
501274,CLIENTE 501274,PN
501275,CLIENTE 501275,PN
501296,CLIENTE 501296,TV
501299,CLIENTE 501299,UD
501300,CLIENTE 501300,PN
501302,CLIENTE 501302,UD
501312,CLIENTE 501312,PN
501323,CLIENTE 501323,PN
501326,CLIENTE 501326,PN
501327,CLIENTE 501327,PN
501328,CLIENTE 501328,PN
501356,CLIENTE 501356,PN
501368,CLIENTE 501368,PN
501378,CLIENTE 501378,PN
501382,CLIENTE 501382,PN
501383,CLIENTE 501383,PN
501385,CLIENTE 501385,PN
501392,CLIENTE 501392,PN
501431,CLIENTE 501431,PN
501438,CLIENTE 501438,PN
501441,CLIENTE 501441,PN
501452,CLIENTE 501452,TV
501453,CLIENTE 501453,PN
501456,CLIENTE 501456,PN
501458,CLIENTE 501458,PN
501463,CLIENTE 501463,PN
501464,CLIENTE 501464,PN
501494,CLIENTE 501494,PN
501497,CLIENTE 501497,PN
501500,CLIENTE 501500,PN
501512,CLIENTE 501512,GO
501514,CLIENTE 501514,PN
501515,CLIENTE 501515,UD
501519,CLIENTE 501519,PN
501521,CLIENTE 501521,PN
501533,CLIENTE 501533,PN
501534,CLIENTE 501534,PN
501537,CLIENTE 501537,PN
501539,CLIENTE 501539,PN
501540,CLIENTE 501540,TV
501541,CLIENTE 501541,TV
501547,CLIENTE 501547,PN
501554,CLIENTE 501554,PN
501562,CLIENTE 501562,UD
501566,CLIENTE 501566,PN
501573,CLIENTE 501573,PN
501579,CLIENTE 501579,PN
501592,CLIENTE 501592,UD
501593,CLIENTE 501593,UD
501597,CLIENTE 501597,PN
501615,CLIENTE 501615,TV
501664,CLIENTE 501664,PN
501710,CLIENTE 501710,PN
501713,CLIENTE 501713,PN
501737,CLIENTE 501737,PN
501743,CLIENTE 501743,PN
501754,CLIENTE 501754,PN
501764,CLIENTE 501764,PN
501775,CLIENTE 501775,PN
501782,CLIENTE 501782,PN
501786,CLIENTE 501786,PN
501862,CLIENTE 501862,PN
501886,CLIENTE 501886,PN
501889,CLIENTE 501889,PN
501891,CLIENTE 501891,PN
501914,CLIENTE 501914,PN
501915,CLIENTE 501915,PN
501919,CLIENTE 501919,PN
501920,CLIENTE 501920,PN
501932,CLIENTE 501932,PN
501935,CLIENTE 501935,PN
501937,CLIENTE 501937,PN
501941,CLIENTE 501941,PN
501945,CLIENTE 501945,TV
501956,CLIENTE 501956,PN
501977,CLIENTE 501977,PN
501986,CLIENTE 501986,TV
501988,CLIENTE 501988,PN
501990,CLIENTE 501990,PN
501991,CLIENTE 501991,PN
501992,CLIENTE 501992,PN
501993,CLIENTE 501993,PN
501998,CLIENTE 501998,TV
502001,CLIENTE 502001,PN
502002,CLIENTE 502002,PN
502003,CLIENTE 502003,UD
502005,CLIENTE 502005,PN
502006,CLIENTE 502006,UD
502008,CLIENTE 502008,TV
502009,CLIENTE 502009,PN
502010,CLIENTE 502010,PN
502014,CLIENTE 502014,PN
502015,CLIENTE 502015,TS
502016,CLIENTE 502016,PN
502021,CLIENTE 502021,PN
502030,CLIENTE 502030,PN
502031,CLIENTE 502031,PN
502032,CLIENTE 502032,PN
502033,CLIENTE 502033,PN
502478,CLIENTE 502478,TV
503001,CLIENTE 503001,PN
503002,CLIENTE 503002,PN
503003,CLIENTE 503003,PN
503698,CLIENTE 503698,TV
503978,CLIENTE 503978,TV
508099,CLIENTE 508099,PN
510001,CLIENTE 510001,PN
510100,CLIENTE 510100,UD
530000,CLIENTE 530000,TV
530002,CLIENTE 530002,UD
530003,CLIENTE 530003,TS
530004,CLIENTE 530004,PN
530006,CLIENTE 530006,UD
530007,CLIENTE 530007,PN
530009,CLIENTE 530009,VE
530012,CLIENTE 530012,GO
530015,CLIENTE 530015,VE
530016,CLIENTE 530016,UD
530017,CLIENTE 530017,UD
530019,CLIENTE 530019,UD
530020,CLIENTE 530020,GO
530021,CLIENTE 530021,TS
530022,CLIENTE 530022,VE
530023,CLIENTE 530023,UD
530025,CLIENTE 530025,GO
530026,CLIENTE 530026,VE
530028,CLIENTE 530028,UD
530029,CLIENTE 530029,UD
530030,CLIENTE 530030,UD
530032,CLIENTE 530032,GO
530033,CLIENTE 530033,UD
530034,CLIENTE 530034,PN
530036,CLIENTE 530036,UD
530037,CLIENTE 530037,UD
530038,CLIENTE 530038,VE
530040,CLIENTE 530040,PN
530046,CLIENTE 530046,PN
530047,CLIENTE 530047,GO
530050,CLIENTE 530050,GO
530052,CLIENTE 530052,GO
530053,CLIENTE 530053,TV
530054,CLIENTE 530054,UD
530056,CLIENTE 530056,VE
530057,CLIENTE 530057,UD
530058,CLIENTE 530058,PN
530060,CLIENTE 530060,UD
530061,CLIENTE 530061,PN
530062,CLIENTE 530062,TV
530063,CLIENTE 530063,PN
530065,CLIENTE 530065,PN
530066,CLIENTE 530066,GO
530067,CLIENTE 530067,UD
530070,CLIENTE 530070,PN
530072,CLIENTE 530072,TS
530073,CLIENTE 530073,UD
530074,CLIENTE 530074,UD
530075,CLIENTE 530075,PN
530076,CLIENTE 530076,PN
530077,CLIENTE 530077,TS
530079,CLIENTE 530079,UD
530080,CLIENTE 530080,VE
530082,CLIENTE 530082,UD
530087,CLIENTE 530087,UD
530093,CLIENTE 530093,UD
530097,CLIENTE 530097,UD
530101,CLIENTE 530101,UD
530102,CLIENTE 530102,UD
530103,CLIENTE 530103,PN
530105,CLIENTE 530105,UD
530106,CLIENTE 530106,UD
530109,CLIENTE 530109,UD
530111,CLIENTE 530111,UD
530113,CLIENTE 530113,UD
530116,CLIENTE 530116,UD
530118,CLIENTE 530118,TS
530119,CLIENTE 530119,VE
530121,CLIENTE 530121,TV
530125,CLIENTE 530125,PN
530126,CLIENTE 530126,TS
530129,CLIENTE 530129,UD
530131,CLIENTE 530131,VE
530132,CLIENTE 530132,VE
530134,CLIENTE 530134,GO
530136,CLIENTE 530136,UD
530138,CLIENTE 530138,UD
530139,CLIENTE 530139,GO
530142,CLIENTE 530142,TS
530144,CLIENTE 530144,PN
530145,CLIENTE 530145,UD
530146,CLIENTE 530146,UD
530150,CLIENTE 530150,UD
530151,CLIENTE 530151,UD
530152,CLIENTE 530152,PN
530155,CLIENTE 530155,TS
530159,CLIENTE 530159,UD
530164,CLIENTE 530164,VE
530165,CLIENTE 530165,UD
530169,CLIENTE 530169,GO
530170,CLIENTE 530170,UD
530171,CLIENTE 530171,UD
530173,CLIENTE 530173,PN
530175,CLIENTE 530175,TS
530176,CLIENTE 530176,TS
530179,CLIENTE 530179,UD
530180,CLIENTE 530180,PN
530181,CLIENTE 530181,PN
530182,CLIENTE 530182,TS
530183,CLIENTE 530183,PN
530184,CLIENTE 530184,TV
530185,CLIENTE 530185,PN
530186,CLIENTE 530186,UD
530187,CLIENTE 530187,UD
530188,CLIENTE 530188,UD
530190,CLIENTE 530190,PN
530192,CLIENTE 530192,UD
530195,CLIENTE 530195,GO
530197,CLIENTE 530197,PN
530198,CLIENTE 530198,UD
530199,CLIENTE 530199,PN
530200,CLIENTE 530200,UD
530201,CLIENTE 530201,UD
530204,CLIENTE 530204,GO
530205,CLIENTE 530205,UD
530206,CLIENTE 530206,GO
530209,CLIENTE 530209,VE
530211,CLIENTE 530211,PN
530212,CLIENTE 530212,PN
530213,CLIENTE 530213,TS
530215,CLIENTE 530215,TS
530221,CLIENTE 530221,PN
530222,CLIENTE 530222,TV
530223,CLIENTE 530223,UD
530225,CLIENTE 530225,UD
530226,CLIENTE 530226,TS
530227,CLIENTE 530227,VE
530228,CLIENTE 530228,UD
530230,CLIENTE 530230,VE
530232,CLIENTE 530232,PN
530233,CLIENTE 530233,UD
530234,CLIENTE 530234,GO
530236,CLIENTE 530236,UD
530237,CLIENTE 530237,UD
530238,CLIENTE 530238,PN
530239,CLIENTE 530239,UD
530240,CLIENTE 530240,UD
530241,CLIENTE 530241,GO
530242,CLIENTE 530242,PN
530243,CLIENTE 530243,UD
530245,CLIENTE 530245,GO
530246,CLIENTE 530246,UD
530247,CLIENTE 530247,PN
530248,CLIENTE 530248,TS
530249,CLIENTE 530249,TS
530250,CLIENTE 530250,UD
530251,CLIENTE 530251,UD
530252,CLIENTE 530252,TS
530253,CLIENTE 530253,UD
530260,CLIENTE 530260,PN
530261,CLIENTE 530261,PN
530262,CLIENTE 530262,PN
530266,CLIENTE 530266,UD
530267,CLIENTE 530267,UD
530268,CLIENTE 530268,UD
530269,CLIENTE 530269,VE
530270,CLIENTE 530270,VE
530271,CLIENTE 530271,UD
530274,CLIENTE 530274,UD
530277,CLIENTE 530277,GO
530278,CLIENTE 530278,PN
530281,CLIENTE 530281,UD
530282,CLIENTE 530282,TS
530287,CLIENTE 530287,VE
530293,CLIENTE 530293,PN
530295,CLIENTE 530295,PN
530296,CLIENTE 530296,UD
530297,CLIENTE 530297,UD
530298,CLIENTE 530298,PN
530300,CLIENTE 530300,VE
530302,CLIENTE 530302,VE
530303,CLIENTE 530303,TV
530308,CLIENTE 530308,VE
530309,CLIENTE 530309,VE
530310,CLIENTE 530310,VE
530312,CLIENTE 530312,PN
530313,CLIENTE 530313,GO
530315,CLIENTE 530315,PN
530316,CLIENTE 530316,PN
530318,CLIENTE 530318,UD
530320,CLIENTE 530320,PN
530321,CLIENTE 530321,PN
530322,CLIENTE 530322,UD
530324,CLIENTE 530324,UD
530325,CLIENTE 530325,UD
530327,CLIENTE 530327,PN
530328,CLIENTE 530328,PN
530329,CLIENTE 530329,UD
530330,CLIENTE 530330,PN
530331,CLIENTE 530331,PN
530332,CLIENTE 530332,GO
530333,CLIENTE 530333,UD
530334,CLIENTE 530334,UD
530335,CLIENTE 530335,PN
530336,CLIENTE 530336,PN
530338,CLIENTE 530338,PN
530339,CLIENTE 530339,VE
530340,CLIENTE 530340,UD
530342,CLIENTE 530342,UD
530344,CLIENTE 530344,VE
530348,CLIENTE 530348,UD
530349,CLIENTE 530349,TS
530350,CLIENTE 530350,UD
530351,CLIENTE 530351,GO
530352,CLIENTE 530352,PN
530353,CLIENTE 530353,PN
530354,CLIENTE 530354,VE
530357,CLIENTE 530357,TS
530359,CLIENTE 530359,PN
530362,CLIENTE 530362,VE
530365,CLIENTE 530365,UD
530366,CLIENTE 530366,PN
530367,CLIENTE 530367,PN
530370,CLIENTE 530370,PN
530372,CLIENTE 530372,UD
530373,CLIENTE 530373,UD
530374,CLIENTE 530374,GO
530376,CLIENTE 530376,PN
530378,CLIENTE 530378,UD
530379,CLIENTE 530379,UD
530381,CLIENTE 530381,PN
530385,CLIENTE 530385,PN
530388,CLIENTE 530388,PN
530390,CLIENTE 530390,UD
530392,CLIENTE 530392,PN
530394,CLIENTE 530394,UD
530397,CLIENTE 530397,TV
530398,CLIENTE 530398,UD
530402,CLIENTE 530402,GO
530404,CLIENTE 530404,UD
530405,CLIENTE 530405,UD
530407,CLIENTE 530407,PN
530408,CLIENTE 530408,PN
530412,CLIENTE 530412,TS
530413,CLIENTE 530413,PN
530414,CLIENTE 530414,PN
530417,CLIENTE 530417,TV
530418,CLIENTE 530418,UD
530419,CLIENTE 530419,UD
530422,CLIENTE 530422,UD
530423,CLIENTE 530423,TS
530424,CLIENTE 530424,UD
530427,CLIENTE 530427,UD
530428,CLIENTE 530428,UD
530429,CLIENTE 530429,UD
530431,CLIENTE 530431,PN
530432,CLIENTE 530432,VE
530433,CLIENTE 530433,PN
530434,CLIENTE 530434,PN
530435,CLIENTE 530435,UD
530437,CLIENTE 530437,PN
530439,CLIENTE 530439,TS
530440,CLIENTE 530440,PN
530442,CLIENTE 530442,UD
530444,CLIENTE 530444,UD
530450,CLIENTE 530450,PN
530452,CLIENTE 530452,UD
530453,CLIENTE 530453,PN
530454,CLIENTE 530454,PN
530455,CLIENTE 530455,PN
530457,CLIENTE 530457,UD
530458,CLIENTE 530458,PN
530459,CLIENTE 530459,PN
530460,CLIENTE 530460,TS
530461,CLIENTE 530461,PN
530462,CLIENTE 530462,PN
530464,CLIENTE 530464,UD
530465,CLIENTE 530465,TV
530466,CLIENTE 530466,PN
530467,CLIENTE 530467,PN
530468,CLIENTE 530468,UD
530469,CLIENTE 530469,UD
530470,CLIENTE 530470,UD
530471,CLIENTE 530471,UD
530472,CLIENTE 530472,UD
530473,CLIENTE 530473,VE
530474,CLIENTE 530474,VE
530475,CLIENTE 530475,TS
530476,CLIENTE 530476,PN
530477,CLIENTE 530477,PN
530478,CLIENTE 530478,PN
530479,CLIENTE 530479,TS
530480,CLIENTE 530480,GO
530482,CLIENTE 530482,TS
530483,CLIENTE 530483,TV
530484,CLIENTE 530484,PN
530485,CLIENTE 530485,PN
530487,CLIENTE 530487,UD
530488,CLIENTE 530488,PN
530489,CLIENTE 530489,UD
530490,CLIENTE 530490,UD
530491,CLIENTE 530491,PN
530493,CLIENTE 530493,TV
530494,CLIENTE 530494,UD
530495,CLIENTE 530495,UD
530496,CLIENTE 530496,GO
530497,CLIENTE 530497,TV
530498,CLIENTE 530498,UD
530499,CLIENTE 530499,UD
530500,CLIENTE 530500,VE
530501,CLIENTE 530501,UD
530502,CLIENTE 530502,UD
530503,CLIENTE 530503,PN
530504,CLIENTE 530504,PN
530505,CLIENTE 530505,PN
530509,CLIENTE 530509,UD
530510,CLIENTE 530510,TV
530511,CLIENTE 530511,PN
530512,CLIENTE 530512,UD
530513,CLIENTE 530513,PN
530514,CLIENTE 530514,UD
530516,CLIENTE 530516,PN
530517,CLIENTE 530517,PN
530518,CLIENTE 530518,PN
530519,CLIENTE 530519,TV
530520,CLIENTE 530520,PN
530521,CLIENTE 530521,PN
530522,CLIENTE 530522,UD
530523,CLIENTE 530523,UD
530524,CLIENTE 530524,TV
530525,CLIENTE 530525,PN
530526,CLIENTE 530526,PN
530537,CLIENTE 530537,PN
530538,CLIENTE 530538,PN
530539,CLIENTE 530539,PN
530540,CLIENTE 530540,PN
530541,CLIENTE 530541,PN
530542,CLIENTE 530542,PN
530543,CLIENTE 530543,PN
530544,CLIENTE 530544,PN
530545,CLIENTE 530545,PN
530546,CLIENTE 530546,TV
530547,CLIENTE 530547,UD
530548,CLIENTE 530548,PN
530551,CLIENTE 530551,PN
530552,CLIENTE 530552,PN
530553,CLIENTE 530553,PN
530554,CLIENTE 530554,PN
530555,CLIENTE 530555,PN
530556,CLIENTE 530556,UD
530557,CLIENTE 530557,PN
530558,CLIENTE 530558,PN
530559,CLIENTE 530559,PN
530560,CLIENTE 530560,PN
530561,CLIENTE 530561,UD
530562,CLIENTE 530562,PN
530563,CLIENTE 530563,PN
530564,CLIENTE 530564,PN
530565,CLIENTE 530565,PN
530566,CLIENTE 530566,PN
530567,CLIENTE 530567,PN
530568,CLIENTE 530568,PN
530569,CLIENTE 530569,PN
530570,CLIENTE 530570,TV
530571,CLIENTE 530571,PN
530573,CLIENTE 530573,TV
530574,CLIENTE 530574,TV
530575,CLIENTE 530575,PN
530576,CLIENTE 530576,GO
530577,CLIENTE 530577,PN
530578,CLIENTE 530578,TS
530579,CLIENTE 530579,PN
530581,CLIENTE 530581,TV
530582,CLIENTE 530582,PN
530584,CLIENTE 530584,TV
530585,CLIENTE 530585,UD
530586,CLIENTE 530586,VE
530588,CLIENTE 530588,UD
530589,CLIENTE 530589,VE
530590,CLIENTE 530590,UD
530591,CLIENTE 530591,GO
530593,CLIENTE 530593,VE
530594,CLIENTE 530594,TS
530595,CLIENTE 530595,UD
530596,CLIENTE 530596,PN
530597,CLIENTE 530597,PN
530598,CLIENTE 530598,PN
530599,CLIENTE 530599,PN
530601,CLIENTE 530601,UD
530603,CLIENTE 530603,PN
530604,CLIENTE 530604,PN
530605,CLIENTE 530605,PN
530607,CLIENTE 530607,PN
530608,CLIENTE 530608,PN
530609,CLIENTE 530609,PN
530610,CLIENTE 530610,PN
530611,CLIENTE 530611,PN
530612,CLIENTE 530612,PN
530613,CLIENTE 530613,PN
530614,CLIENTE 530614,PN
